,City,Latitude,Longitude,MaxTemp (°C),Humidity (%),Cloudiness (%),WindSpeed (meter/sec),Country,Date
28,Port Alfred,-33.59,26.89,13.89,63,0,0.89,ZA,06/18/20
29,Statesville,35.78,-80.89,18.0,93,90,0.33,US,06/18/20
30,Bambous Virieux,-20.34,57.76,23.33,73,75,7.7,MU,06/18/20
31,Ushuaia,-54.8,-68.3,1.0,86,20,2.1,AR,06/18/20
32,Rikitea,-23.12,-134.97,24.34,84,46,6.98,PF,06/18/20
33,Mauá,-23.67,-46.46,15.0,82,0,1.5,BR,06/18/20
34,Saskylakh,71.92,114.08,18.39,51,84,2.42,RU,06/18/20
35,Puerto Ayora,-0.74,-90.35,19.44,94,46,3.49,EC,06/18/20
36,Bredasdorp,-34.53,20.04,5.0,80,3,2.6,ZA,06/18/20
37,Severnyy,50.68,36.55,25.0,44,72,3.0,RU,06/18/20
38,Ambilobe,-13.2,49.05,26.81,40,0,1.09,MG,06/18/20
39,Hobyo,5.35,48.53,28.85,58,100,11.08,SO,06/18/20
40,Kavaratti,10.57,72.64,30.0,79,90,3.1,IN,06/18/20
41,Saint-Augustin,51.23,-58.65,13.42,88,70,2.7,CA,06/18/20
42,Chui,-33.7,-53.46,20.37,76,100,8.09,UY,06/18/20
43,Severo-Kuril'sk,50.68,156.12,7.55,84,68,2.22,RU,06/18/20
44,Moose Factory,51.26,-80.61,24.0,44,1,7.7,CA,06/18/20
45,Clyde River,70.47,-68.59,0.0,97,90,1.0,CA,06/18/20
46,Castro,-24.79,-50.01,12.62,96,76,2.66,BR,06/18/20
47,Sioux Lookout,50.1,-91.92,25.0,61,75,4.6,CA,06/18/20
48,Horki,54.29,30.98,23.0,60,0,3.0,BY,06/18/20
49,Kapaa,22.08,-159.32,26.0,78,90,8.2,US,06/18/20
50,Bairiki Village,1.33,172.98,29.0,66,75,1.5,KI,06/18/20
51,Bethel,41.37,-73.41,18.0,93,90,2.1,US,06/18/20
52,Wilmington,34.23,-77.94,17.78,100,1,2.44,US,06/18/20
53,Oktyabr'skiy,54.48,53.47,16.45,61,34,4.75,RU,06/18/20
54,Atuona,-9.8,-139.03,26.97,75,70,6.15,PF,06/18/20
55,Kyaikto,17.3,97.02,25.56,88,100,1.87,MM,06/18/20
56,Las Cruces,32.31,-106.78,26.11,22,0,4.49,US,06/18/20
57,Ereymentau,51.62,73.1,22.08,46,28,7.61,KZ,06/18/20
58,Ulladulla,-35.35,150.47,15.56,58,20,4.6,AU,06/18/20
59,Upernavik,72.79,-56.15,0.39,92,0,3.2,GL,06/18/20
60,Baft,29.23,56.61,28.71,14,0,3.21,IR,06/18/20
61,Aksarka,66.56,67.8,7.52,57,90,2.27,RU,06/18/20
62,Provideniya,64.38,-173.3,14.0,58,4,2.0,RU,06/18/20
63,Raahe,64.68,24.48,20.56,88,63,6.2,FI,06/18/20
64,Placerville,38.73,-120.8,19.44,42,1,3.6,US,06/18/20
65,Phan Thiet,10.93,108.1,31.31,66,58,3.74,VN,06/18/20
66,Qaanaaq,77.48,-69.36,-2.18,95,57,0.52,GL,06/18/20
67,Hasaki,35.73,140.83,25.0,78,75,3.1,JP,06/18/20
68,Taksimo,56.34,114.88,18.75,41,45,1.73,RU,06/18/20
69,Souillac,-20.52,57.52,23.0,73,75,7.7,MU,06/18/20
70,Mizdah,31.45,12.98,27.27,17,0,4.62,LY,06/18/20
71,Hofn,64.25,-15.21,7.58,78,14,4.75,IS,06/18/20
72,Vaini,-21.2,-175.2,20.0,94,75,3.1,TO,06/18/20
73,East London,-33.02,27.91,15.0,54,13,4.6,ZA,06/18/20
74,Tiksi,71.69,128.87,14.61,49,95,2.12,RU,06/18/20
75,Butaritari,3.07,172.79,28.57,67,25,3.98,KI,06/18/20
76,Cape Town,-33.93,18.42,17.22,58,0,2.6,ZA,06/18/20
77,George Town,5.41,100.34,32.0,62,20,4.1,MY,06/18/20
78,Kindu,-2.95,25.95,21.35,59,25,1.53,CD,06/18/20
79,Wanaka,-44.7,169.15,1.45,87,84,2.7,NZ,06/18/20
80,Torbay,47.67,-52.73,15.0,76,90,9.3,CA,06/18/20
81,Mataura,-46.19,168.86,3.89,83,0,1.34,NZ,06/18/20
82,São Filipe,14.9,-24.5,25.13,71,2,3.02,CV,06/18/20
83,Fortuna,40.6,-124.16,11.67,93,1,1.67,US,06/18/20
84,Kaitangata,-46.28,169.85,7.78,53,45,4.92,NZ,06/18/20
85,Mandalgovi,45.76,106.27,26.53,26,53,3.58,MN,06/18/20
86,Saint-Philippe,-21.36,55.77,23.0,64,93,8.2,RE,06/18/20
87,Mossamedes,-15.2,12.15,21.93,51,0,2.03,AO,06/18/20
88,Dābhol,17.6,73.17,27.13,86,99,5.87,IN,06/18/20
89,Palauig,15.44,119.9,30.55,68,83,2.98,PH,06/18/20
90,Chālūs,36.66,51.42,28.0,74,40,1.0,IR,06/18/20
91,Ilulissat,69.22,-51.1,2.0,80,4,2.1,GL,06/18/20
92,Dongsheng,39.82,109.98,27.63,18,0,3.49,CN,06/18/20
93,Trairi,-3.28,-39.27,23.02,93,9,4.11,BR,06/18/20
94,São João da Barra,-21.64,-41.05,19.92,75,14,2.36,BR,06/18/20
95,Hobart,-42.88,147.33,9.0,70,75,2.6,AU,06/18/20
96,Mandera,3.94,41.87,27.75,53,92,9.46,KE,06/18/20
97,Xichang,27.9,102.26,21.95,68,100,1.19,CN,06/18/20
98,Bengkulu,-3.8,102.27,29.3,67,41,3.19,ID,06/18/20
99,Yuzhno-Kurilsk,44.03,145.86,11.75,91,100,2.41,RU,06/18/20
100,Port Lincoln,-34.73,135.87,17.96,49,100,7.38,AU,06/18/20
101,Faya,18.39,42.45,29.0,10,76,8.2,SA,06/18/20
102,Novoagansk,61.94,76.66,11.98,44,41,6.99,RU,06/18/20
103,Russell,32.35,-85.2,22.0,88,90,1.5,US,06/18/20
104,Longyearbyen,78.22,15.64,4.0,80,75,2.1,SJ,06/18/20
105,Ahipara,-35.17,173.17,13.5,85,39,4.16,NZ,06/18/20
106,Karratha,-20.74,116.85,27.64,35,0,3.75,AU,06/18/20
107,Lompoc,34.64,-120.46,12.0,93,0,1.79,US,06/18/20
108,Sungai Penuh,-2.08,101.38,23.42,90,66,0.61,ID,06/18/20
109,Papetoai,-17.5,-149.87,26.0,83,75,2.6,PF,06/18/20
110,Cap Malheureux,-19.98,57.61,23.33,76,35,5.36,MU,06/18/20
111,Louis Trichardt,-23.04,29.9,10.33,81,76,3.45,ZA,06/18/20
112,Norman Wells,65.28,-126.83,19.0,55,40,2.1,CA,06/18/20
113,Tasiilaq,65.61,-37.64,4.0,80,100,10.3,GL,06/18/20
114,Alofi,-19.06,-169.92,22.0,73,1,3.6,NU,06/18/20
115,Haines Junction,60.75,-137.51,11.25,65,94,1.91,CA,06/18/20
116,Aswān,24.09,32.91,34.08,23,0,8.05,EG,06/18/20
117,Bubaque,11.28,-15.83,26.96,85,78,5.15,GW,06/18/20
118,Wajid,3.81,43.25,25.82,60,69,10.08,SO,06/18/20
119,Qazvin,36.28,50.0,29.0,28,0,3.1,IR,06/18/20
120,Narsaq,60.92,-46.05,3.0,86,88,2.1,GL,06/18/20
121,Atar,20.52,-13.05,31.69,27,0,5.57,MR,06/18/20
122,Sterling,39.01,-77.43,19.44,93,90,3.6,US,06/18/20
123,Nishihara,26.18,127.76,32.0,66,40,10.3,JP,06/18/20
124,Lagoa,39.05,-27.98,16.97,78,90,3.46,PT,06/18/20
125,Paamiut,61.99,-49.67,2.94,80,94,1.34,GL,06/18/20
126,Santa Fe,-31.63,-60.7,14.44,90,92,1.79,AR,06/18/20
127,Kismayo,-0.36,42.55,26.86,74,31,6.93,SO,06/18/20
128,Sūsangerd,31.56,48.18,36.0,19,0,3.1,IR,06/18/20
129,Iskitim,54.64,83.3,18.0,72,40,4.0,RU,06/18/20
130,Ponta do Sol,32.67,-17.1,20.0,72,20,5.7,PT,06/18/20
131,Auki,-8.77,160.7,27.67,80,36,1.52,SB,06/18/20
132,Grand Gaube,-20.01,57.66,23.33,76,42,5.36,MU,06/18/20
133,Yeppoon,-23.13,150.73,24.0,50,94,6.7,AU,06/18/20
134,Mount Gambier,-37.83,140.77,14.0,67,40,6.7,AU,06/18/20
135,North Bend,43.41,-124.22,13.0,93,1,7.7,US,06/18/20
136,Cadiz,36.5,-5.75,20.0,93,0,1.16,ES,06/18/20
137,Mackay,-21.15,149.2,22.0,83,90,8.7,AU,06/18/20
138,Lingao,19.91,109.69,31.87,62,20,2.55,CN,06/18/20
139,Geraldton,-28.77,114.6,19.0,55,40,7.2,AU,06/18/20
140,Tautira,-17.73,-149.15,26.0,83,75,2.6,PF,06/18/20
141,Villa Bruzual,9.33,-69.12,22.5,94,1,1.14,VE,06/18/20
142,Vanimo,-2.67,141.3,29.32,69,9,3.38,PG,06/18/20
143,Saint George,37.1,-113.58,25.0,15,1,8.2,US,06/18/20
144,Bandarbeyla,9.49,50.81,30.84,49,94,14.42,SO,06/18/20
145,Tortosa,40.81,0.52,17.22,85,89,0.89,ES,06/18/20
146,La Asuncion,11.03,-63.86,26.0,94,86,4.1,VE,06/18/20
147,Shingū,33.73,135.98,18.0,100,75,1.0,JP,06/18/20
148,Port Elizabeth,-33.92,25.57,8.0,75,0,1.0,ZA,06/18/20
149,San Miguel de Tucumán,-26.82,-65.22,17.0,51,1,2.6,AR,06/18/20
150,Mar del Plata,-38.0,-57.56,15.0,100,75,5.1,AR,06/18/20
151,Mahébourg,-20.41,57.7,23.0,73,75,7.7,MU,06/18/20
152,Xai-Xai,-25.05,33.64,18.57,86,60,0.97,MZ,06/18/20
153,Hervey Bay,-25.3,152.85,21.67,65,16,4.02,AU,06/18/20
154,Fare,-16.7,-151.02,27.78,80,90,2.79,PF,06/18/20
155,Labuhan,-6.88,112.21,31.11,60,0,3.79,ID,06/18/20
156,Ayan,56.45,138.17,6.77,91,92,1.73,RU,06/18/20
157,Verāval,20.9,70.37,31.01,74,28,5.64,IN,06/18/20
158,Carnarvon,-24.87,113.63,23.0,60,90,6.2,AU,06/18/20
159,Saint Paul Harbor,57.79,-152.41,10.0,87,90,5.7,US,06/18/20
160,Ancud,-41.87,-73.82,10.0,93,90,12.9,CL,06/18/20
161,Warren,39.43,-84.17,18.0,72,1,1.85,US,06/18/20
162,El Salvador,13.83,-88.92,25.0,94,20,1.0,SV,06/18/20
163,Lityn,49.33,28.08,20.0,82,51,3.0,UA,06/18/20
164,Nizwá,22.93,57.53,40.44,15,42,2.25,OM,06/18/20
165,Midland,32.0,-102.08,27.0,57,1,5.1,US,06/18/20
166,Sokoto,13.06,5.24,28.05,65,100,7.13,NG,06/18/20
167,Kenai,60.55,-151.26,14.44,54,1,3.1,US,06/18/20
168,Jamestown,42.1,-79.24,17.0,72,20,1.5,US,06/18/20
169,São Miguel do Araguaia,-13.28,-50.16,19.04,70,0,2.22,BR,06/18/20
170,Cabo San Lucas,22.89,-109.91,29.44,43,71,6.25,MX,06/18/20
171,Husavik,66.04,-17.34,9.0,76,94,3.1,IS,06/18/20
172,Kaeo,-35.1,173.78,12.22,3,9,4.02,NZ,06/18/20
173,Vardø,70.37,31.11,10.0,81,2,2.6,NO,06/18/20
174,Forsytheganj,52.63,29.73,21.82,86,48,3.09,BY,06/18/20
175,Portland,45.52,-122.68,16.11,67,1,3.6,US,06/18/20
176,Fuerte Olimpo,-21.04,-57.87,24.02,50,56,3.99,PY,06/18/20
177,Chokurdakh,70.63,147.92,31.47,19,7,5.19,RU,06/18/20
178,Lüderitz,-26.65,15.16,24.0,16,0,9.3,NA,06/18/20
179,Ribeira Brava,32.65,-17.07,20.0,72,20,5.7,PT,06/18/20
180,Rulenge,-2.72,30.63,18.32,59,16,2.25,TZ,06/18/20
181,Adrar,20.5,-10.07,32.09,24,24,8.6,MR,06/18/20
182,Port Blair,11.67,92.75,30.22,75,91,6.83,IN,06/18/20
183,Macaé,-22.37,-41.79,17.0,100,1,1.0,BR,06/18/20
184,Óbidos,-1.92,-55.52,23.9,85,93,0.82,BR,06/18/20
185,Avarua,-21.21,-159.78,22.0,64,2,4.6,CK,06/18/20
186,La Reforma,25.08,-108.05,27.22,79,67,0.45,MX,06/18/20
187,Erzin,36.96,36.2,24.44,84,1,2.18,TR,06/18/20
188,Makokou,0.57,12.86,21.13,97,97,1.52,GA,06/18/20
189,Aklavik,68.22,-135.01,16.0,67,75,2.6,CA,06/18/20
190,Huarmey,-10.07,-78.15,16.45,85,58,2.96,PE,06/18/20
191,Margate,51.38,1.39,15.0,99,100,0.89,GB,06/18/20
192,Guerrero Negro,27.98,-114.06,16.97,87,0,6.24,MX,06/18/20
193,Hermanus,-34.42,19.23,8.89,81,0,1.34,ZA,06/18/20
194,Pangnirtung,66.15,-65.71,0.15,94,25,0.43,CA,06/18/20
195,Port-Gentil,-0.72,8.78,23.0,94,75,2.1,GA,06/18/20
196,Texarkana,33.43,-94.05,23.33,78,1,2.1,US,06/18/20
197,Pailón,-17.65,-62.75,23.0,83,20,6.7,BO,06/18/20
198,Yulara,-25.24,130.99,23.0,16,0,2.1,AU,06/18/20
199,Benghazi,32.12,20.07,24.18,57,0,4.45,LY,06/18/20
200,Fuyang,32.9,115.82,25.96,64,93,2.67,CN,06/18/20
201,Carambeí,-24.92,-50.1,12.04,99,100,3.24,BR,06/18/20
202,Kiryat Gat,31.61,34.76,26.67,17,0,0.45,IL,06/18/20
203,Puerto Colombia,10.99,-74.95,27.0,88,20,5.7,CO,06/18/20
204,Hithadhoo,-0.6,73.08,28.83,78,84,5.22,MV,06/18/20
205,Shaoguan,24.8,113.58,32.99,60,27,4.58,CN,06/18/20
206,Limbang,4.75,115.0,32.0,66,75,3.1,MY,06/18/20
207,Buchanan,5.88,-10.05,23.0,94,40,4.44,LR,06/18/20
208,Esperance,-33.87,121.9,16.0,55,40,11.8,AU,06/18/20
209,Brae,60.4,-1.35,11.0,93,100,1.5,GB,06/18/20
210,New Norfolk,-42.78,147.06,6.67,77,100,0.94,AU,06/18/20
211,Plettenberg Bay,-34.05,23.37,17.0,47,0,4.3,ZA,06/18/20
212,Hambantota,6.12,81.12,33.0,66,40,4.1,LK,06/18/20
213,Arlit,18.74,7.39,31.58,10,0,4.11,NE,06/18/20
214,Millington,35.34,-89.9,20.0,88,1,2.46,US,06/18/20
215,Lorengau,-2.02,147.27,29.3,75,0,4.99,PG,06/18/20
216,Ugoofaaru,5.67,73.0,29.11,78,85,4.74,MV,06/18/20
217,Katherine,-14.47,132.27,32.0,27,0,5.7,AU,06/18/20
218,Pemba,-12.97,40.52,24.49,67,1,7.01,MZ,06/18/20
219,Tres Arroyos,-38.37,-60.28,11.97,92,100,7.09,AR,06/18/20
220,Kroya,-7.63,109.25,28.34,78,31,5.33,ID,06/18/20
221,Havre-St-Pierre,50.23,-63.6,13.0,82,90,2.1,CA,06/18/20
222,Kahului,20.89,-156.47,26.0,65,20,7.2,US,06/18/20
223,Apastovo,55.2,48.51,20.0,40,10,5.0,RU,06/18/20
224,Westport,41.14,-73.36,18.0,93,90,2.1,US,06/18/20
225,Rawson,-43.3,-65.1,9.31,59,29,4.2,AR,06/18/20
226,Sisimiut,66.94,-53.67,2.42,82,7,2.96,GL,06/18/20
227,Te Anau,-45.42,167.72,2.41,85,6,2.39,NZ,06/18/20
228,Carahue,-38.7,-73.17,11.0,81,90,8.7,CL,06/18/20
229,Atambua,-9.11,124.89,26.95,62,62,2.0,ID,06/18/20
230,Villa Carlos Paz,-31.42,-64.5,10.0,81,34,3.6,AR,06/18/20
231,Athens,37.98,23.72,26.11,50,0,3.09,GR,06/18/20
232,Fairbanks,64.84,-147.72,22.0,30,75,5.1,US,06/18/20
233,Si Sa Ket,15.11,104.33,30.56,75,100,5.37,TH,06/18/20
234,Janaúba,-15.8,-43.31,16.51,76,0,4.95,BR,06/18/20
235,Port Hedland,-20.32,118.57,28.0,34,0,4.6,AU,06/18/20
236,Liancheng,24.05,105.08,27.39,71,100,1.91,CN,06/18/20
237,Cherskiy,68.75,161.3,25.03,31,4,4.86,RU,06/18/20
238,Kurumkan,54.3,110.3,21.28,26,30,2.2,RU,06/18/20
239,Bilma,18.69,12.92,33.86,12,0,4.99,NE,06/18/20
240,Necochea,-38.55,-58.74,13.33,99,100,1.79,AR,06/18/20
241,Trabzon Province,40.92,39.83,25.0,69,18,2.1,TR,06/18/20
242,Yangjiang,21.85,111.97,32.22,63,2,6.44,CN,06/18/20
243,Bani Walid,31.76,13.99,30.95,14,0,8.41,LY,06/18/20
244,Sorong,-0.88,131.25,29.06,75,61,1.52,ID,06/18/20
245,Nelson Bay,-32.72,152.15,16.67,67,40,5.1,AU,06/18/20
246,Havelock,34.88,-76.9,22.78,88,1,3.25,US,06/18/20
247,Ostrovnoy,68.05,39.51,10.43,67,42,4.54,RU,06/18/20
248,Sambava,-14.27,50.17,24.58,67,88,8.48,MG,06/18/20
249,Tuktoyaktuk,69.45,-133.04,9.0,93,40,3.6,CA,06/18/20
250,Saint Anthony,45.02,-93.22,24.0,44,1,5.7,US,06/18/20
251,Amapá,1.0,-52.0,21.34,98,43,0.09,BR,06/18/20
252,Shirokiy,49.76,129.52,19.57,60,2,1.0,RU,06/18/20
253,Tazovsky,67.47,78.7,6.3,60,29,4.54,RU,06/18/20
254,Constitución,-35.33,-72.42,11.97,87,100,6.65,CL,06/18/20
255,Tessalit,20.2,1.01,34.79,11,0,8.39,ML,06/18/20
256,Howard Springs,-12.5,131.05,32.22,33,0,4.6,AU,06/18/20
257,Dikson,73.51,80.55,0.36,94,0,4.19,RU,06/18/20
258,Lucea,18.45,-78.17,26.11,88,20,2.6,JM,06/18/20
259,Airai,-8.93,125.41,19.67,85,88,2.46,TL,06/18/20
260,Tilichiki,60.47,166.1,13.72,75,88,2.05,RU,06/18/20
261,Sergeevka,53.88,67.42,15.51,50,4,6.41,KZ,06/18/20
262,Nikolskoye,59.7,30.79,25.56,73,2,3.0,RU,06/18/20
263,San Andrés,12.58,-81.7,28.0,78,75,6.7,CO,06/18/20
264,Kathu,7.92,98.33,30.0,70,20,3.1,TH,06/18/20
265,Isangel,-19.55,169.27,24.0,73,75,4.51,VU,06/18/20
266,Santa Rosa,14.31,121.11,35.0,63,40,1.5,PH,06/18/20
267,Palizada,18.25,-92.08,24.13,94,100,1.35,MX,06/18/20
268,Mount Isa,-20.73,139.5,28.0,32,40,4.1,AU,06/18/20
269,Brest,52.1,23.7,22.0,73,0,3.0,BY,06/18/20
270,Hilo,19.73,-155.09,26.0,74,90,3.1,US,06/18/20
271,Watrous,51.67,-105.47,8.58,93,100,7.24,CA,06/18/20
272,Rome,43.21,-75.46,14.0,76,1,1.81,US,06/18/20
273,Abhā,18.22,42.51,29.0,10,37,8.2,SA,06/18/20
274,Raja,8.46,25.68,25.97,73,55,2.44,SS,06/18/20
275,Talnakh,69.49,88.4,9.0,36,100,2.0,RU,06/18/20
276,Pevek,69.7,170.31,5.77,67,90,5.43,RU,06/18/20
277,Nuuk,64.18,-51.72,2.54,83,77,3.34,GL,06/18/20
278,Siocon,7.71,122.14,28.31,77,100,0.83,PH,06/18/20
279,Qaqortoq,60.72,-46.03,3.0,86,46,2.1,GL,06/18/20
280,Comodoro Rivadavia,-45.87,-67.5,8.0,65,36,2.6,AR,06/18/20
281,Valparaíso,-33.04,-71.63,9.0,93,75,1.5,CL,06/18/20
282,Mehamn,71.04,27.85,13.0,54,98,4.6,NO,06/18/20
283,Seddon,-37.81,144.89,16.67,67,34,5.7,AU,06/18/20
284,Marzuq,14.4,46.47,34.61,12,72,0.93,YE,06/18/20
285,Zaozyornoye,45.16,33.28,23.1,71,99,2.68,UA,06/18/20
286,Nueva Loja,0.08,-76.88,21.13,98,100,1.07,EC,06/18/20
287,Santa Catalina,9.33,122.86,31.0,70,75,3.1,PH,06/18/20
288,Iqaluit,63.75,-68.51,3.0,74,90,6.7,CA,06/18/20
289,Wu’an,31.68,112.0,30.08,53,3,2.64,CN,06/18/20
290,Khilok,51.37,110.47,17.82,47,100,2.62,RU,06/18/20
291,San Juan,-31.54,-68.54,8.27,48,8,1.66,AR,06/18/20
292,Curaçá,-8.99,-39.91,18.16,92,3,3.8,BR,06/18/20
293,Nizhniy Tsasuchey,50.52,115.13,23.48,36,85,4.41,RU,06/18/20
294,Marsaxlokk,35.84,14.54,23.33,78,0,1.5,MT,06/18/20
295,Mahibadhoo,3.78,72.97,29.03,74,99,2.58,MV,06/18/20
296,Ust-Tsilma,65.44,52.15,10.52,45,22,2.58,RU,06/18/20
297,Mahajanga,-15.72,46.32,25.0,41,26,9.3,MG,06/18/20
298,Vila Velha,-20.33,-40.29,17.78,100,22,1.5,BR,06/18/20
299,Kalianget,-7.05,113.93,29.15,72,1,5.89,ID,06/18/20
300,Mogadishu,2.04,45.34,27.0,69,75,8.7,SO,06/18/20
301,Ampanihy,-24.7,44.75,20.38,59,19,6.49,MG,06/18/20
302,Kiunga,-6.12,141.29,27.94,87,10,1.09,PG,06/18/20
303,Gamba,-2.65,10.0,23.39,84,19,0.15,GA,06/18/20
304,Strongsville,41.31,-81.84,20.0,72,75,1.88,US,06/18/20
305,Cidreira,-30.18,-50.21,17.05,85,100,4.0,BR,06/18/20
306,Manzhouli,49.6,117.43,25.97,23,0,6.19,CN,06/18/20
307,Khovd,48.01,91.64,18.83,49,100,6.6,MN,06/18/20
308,Pisco,-13.7,-76.22,16.0,87,75,2.6,PE,06/18/20
309,Hamina,60.57,27.2,20.0,88,75,3.1,FI,06/18/20
310,Broken Hill,-31.95,141.43,17.0,39,0,5.1,AU,06/18/20
311,San Cristobal,7.77,-72.22,18.43,91,39,0.63,VE,06/18/20
312,Dingle,11.0,122.67,30.53,69,100,1.72,PH,06/18/20
313,Bartica,6.4,-58.62,23.22,97,80,0.43,GY,06/18/20
314,Atbasar,51.8,68.33,18.37,64,100,6.73,KZ,06/18/20
315,Kloulklubed,7.04,134.26,30.0,74,75,3.6,PW,06/18/20
316,Walvis Bay,-22.96,14.51,22.0,24,0,10.8,NA,06/18/20
317,San Vicente,-26.62,-54.13,17.93,75,63,2.65,AR,06/18/20
318,Emmett,43.87,-116.5,13.89,67,39,1.34,US,06/18/20
319,Myitkyina,25.38,97.4,26.8,90,100,0.72,MM,06/18/20
320,Panjāb,34.39,67.02,20.4,21,0,1.16,AF,06/18/20
321,Nouadhibou,20.93,-17.03,24.0,64,0,9.3,MR,06/18/20
322,Kruisfontein,-34.0,24.73,14.45,43,0,3.11,ZA,06/18/20
323,Kamaishi,39.27,141.88,27.0,54,75,7.2,JP,06/18/20
324,Chapada dos Guimarães,-15.46,-55.75,22.0,64,3,1.5,BR,06/18/20
325,Mawlaik,23.63,94.42,30.62,78,94,1.43,MM,06/18/20
326,Am Timan,11.03,20.28,25.0,75,100,2.44,TD,06/18/20
327,Klaksvík,62.23,-6.59,9.0,100,89,1.0,FO,06/18/20
328,Merke,42.87,73.18,21.8,38,30,2.41,KZ,06/18/20
329,Hamilton,39.18,-84.53,18.89,87,75,1.28,US,06/18/20
330,Ovalle,-30.6,-71.2,11.51,52,100,0.98,CL,06/18/20
331,Andenes,69.31,16.12,10.0,87,40,4.1,NO,06/18/20
332,Kidal,18.44,1.41,34.79,11,0,6.94,ML,06/18/20
333,Oranjemund,-28.55,16.43,17.77,35,0,10.62,NA,06/18/20
334,Galle,6.04,80.22,29.23,77,97,5.07,LK,06/18/20
335,Phalaborwa,-23.94,31.14,14.0,87,85,1.0,ZA,06/18/20
336,Stockholm,59.33,18.06,18.89,77,0,1.5,SE,06/18/20
337,Camacha,33.08,-16.33,19.0,88,20,5.1,PT,06/18/20
338,Bondoukou,8.03,-2.8,22.94,91,77,3.92,CI,06/18/20
339,Acajutla,13.59,-89.83,22.22,98,100,1.93,SV,06/18/20
340,Lincoln,40.8,-96.67,26.0,61,1,8.7,US,06/18/20
341,Sabzawār,36.21,57.68,32.02,12,0,3.64,IR,06/18/20
342,Tabory,58.52,64.55,13.8,41,100,4.19,RU,06/18/20
343,Vasto,42.12,14.71,22.0,64,0,1.5,IT,06/18/20
344,Praia,14.92,-23.51,29.0,48,0,9.8,CV,06/18/20
345,Lipin Bor,60.26,37.98,19.15,58,0,2.39,RU,06/18/20
346,Yantal',56.85,105.25,22.35,26,2,1.76,RU,06/18/20
347,Birin,26.89,88.07,18.37,100,100,2.24,NP,06/18/20
348,Porto de Moz,-1.75,-52.24,22.83,97,79,1.18,BR,06/18/20
349,Zhuhai,22.28,113.57,32.0,79,40,5.7,CN,06/18/20
350,Namtsy,62.72,129.67,27.0,19,67,3.0,RU,06/18/20
351,Malé,4.17,73.51,31.0,74,20,2.6,MV,06/18/20
352,Elko,41.0,-115.5,10.0,58,0,2.24,US,06/18/20
353,Rosa Zarate,0.33,-79.47,22.79,93,100,0.98,EC,06/18/20
354,Coffs Harbour,-30.3,153.13,15.0,93,75,4.6,AU,06/18/20
355,Otane,-39.88,176.63,10.56,94,100,1.34,NZ,06/18/20
356,Saurimo,-9.66,20.39,17.02,47,0,4.18,AO,06/18/20
357,Sola,-13.88,167.55,28.0,69,90,3.6,VU,06/18/20
358,Pāndoh,31.68,77.05,26.0,69,75,2.1,IN,06/18/20
359,Paita,-5.09,-81.11,18.6,82,31,4.47,PE,06/18/20
360,Namatanai,-3.67,152.43,28.44,74,12,3.85,PG,06/18/20
361,Zliten,32.47,14.57,31.33,21,0,9.48,LY,06/18/20
362,Sanguéya,10.7,-14.37,25.34,93,100,0.91,GN,06/18/20
363,Ola,59.58,151.28,9.83,86,100,2.93,RU,06/18/20
